"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2021 XG5)",AMO,0.3381,1.562,9.96,254.94,210.25,347.41,713,0.073,28.4,N,25.75,,,,2459559.5
"       (2021 XH5)",APO,0.5363,1.835,2.43,53.79,91.79,340.38,908,0.0228,8.87,N,23.67,,,,2459556.5
"       (2021 XJ5)",APO,0.3963,1.431,12.15,272.35,112.94,137.23,625,0.0341,13.3,Y,20.98,,,,2461000.5
"       (2021 XK5)",AMO,0.1221,1.233,17.00,98.53,326.11,326.28,500,0.116,45.2,N,21.96,,,,2461000.5
"       (2021 XL5)",APO,0.6547,2.825,6.37,74.53,337.05,4.98,1.73e+03,0.0128,4.96,N,25.70,,,,2459559.5
"       (2021 XM5)",APO,0.4333,1.153,16.30,261.10,50.97,63.77,452,0.134,52.2,N,22.60,,,,2459557.5
"       (2021 XN5)",AMO,0.4575,2.034,8.43,272.07,167.28,131.61,1.06e+03,0.122,47.6,N,23.03,,,,2461000.5
"       (2021 XO5)",AMO,0.5389,2.339,1.60,327.55,107.09,0.02,1.31e+03,0.0973,37.9,N,25.01,,,,2459559.5
"       (2021 XQ5)",APO,0.5050,1.807,4.51,258.11,231.00,343.47,887,0.0101,3.91,N,27.72,,,,2459557.5
"       (2021 XR5)",APO,0.4838,1.87,7.85,257.32,144.94,11.00,934,0.0242,9.4,N,27.63,,,,2459557.5
"       (2021 XT5)",AMO,0.4293,2.236,29.90,292.60,164.12,78.51,1.22e+03,0.303,118,N,18.62,,,,2461000.5
"       (2021 XU5)",APO,0.6491,1.717,2.03,258.64,268.26,338.26,821,0.000121,0.0469,N,29.41,,,,2459556.5
"       (2021 XV5)",APO,0.4442,1.709,2.62,65.02,47.22,262.99,816,0.0146,5.69,N,25.60,,,,2461000.5
"       (2021 XW5)",APO,0.5372,2.054,5.89,79.88,332.29,129.04,1.08e+03,0.0028,1.09,N,27.38,,,,2461000.5
"       (2021 XY5)",APO,0.6130,2.372,4.68,277.57,221.22,12.92,1.33e+03,0.0089,3.46,N,22.35,,,,2461000.5
